seed,kind,method,heldout_auc,external_auc
9001,linear,capability,0.7566666666666667,0.7094444444444444
9001,linear,difficulty,0.7799999999999999,0.73
9001,linear,failure,0.7272222222222222,0.6866666666666666
9001,linear,family,0.7305555555555555,0.6827777777777778
9001,linear,random_gran,0.7311111111111112,0.6722222222222222
9001,linear,uniform,0.7433333333333333,0.6972222222222223
9001,nonlinear,capability,0.7672222222222222,0.7194444444444444
9001,nonlinear,difficulty,0.7905555555555556,0.73
9001,nonlinear,failure,0.7283333333333332,0.6788888888888889
9001,nonlinear,family,0.7444444444444445,0.6944444444444443
9001,nonlinear,random_gran,0.7388888888888889,0.6955555555555556
9001,nonlinear,uniform,0.7600000000000001,0.7094444444444444
9001,tabular,capability,0.7377777777777778,0.6944444444444443
9001,tabular,difficulty,0.7400000000000001,0.6955555555555556
9001,tabular,failure,0.7144444444444445,0.6516666666666666
9001,tabular,family,0.706111111111111,0.6516666666666667
9001,tabular,random_gran,0.7111111111111111,0.6466666666666666
9001,tabular,uniform,0.7166666666666667,0.6594444444444445
9002,linear,capability,0.7633333333333333,0.7144444444444445
9002,linear,difficulty,0.7766666666666667,0.7411111111111112
9002,linear,failure,0.7294444444444445,0.6977777777777779
9002,linear,family,0.7305555555555555,0.7055555555555557
9002,linear,random_gran,0.7444444444444445,0.7133333333333333
9002,linear,uniform,0.7522222222222222,0.7222222222222222
9002,nonlinear,capability,0.7627777777777777,0.7372222222222223
9002,nonlinear,difficulty,0.7683333333333332,0.7416666666666667
9002,nonlinear,failure,0.7277777777777777,0.6983333333333333
9002,nonlinear,family,0.7366666666666667,0.7044444444444444
9002,nonlinear,random_gran,0.7427777777777779,0.7172222222222223
9002,nonlinear,uniform,0.7605555555555554,0.7272222222222222
9002,tabular,capability,0.7327777777777778,0.7011111111111111
9002,tabular,difficulty,0.7522222222222222,0.7238888888888889
9002,tabular,failure,0.6905555555555556,0.6672222222222223
9002,tabular,family,0.6883333333333334,0.6527777777777778
9002,tabular,random_gran,0.6955555555555556,0.6516666666666667
9002,tabular,uniform,0.7438888888888888,0.7022222222222222
9003,linear,capability,0.7494444444444445,0.7311111111111112
9003,linear,difficulty,0.773888888888889,0.7616666666666667
9003,linear,failure,0.735,0.7188888888888889
9003,linear,family,0.715,0.7011111111111111
9003,linear,random_gran,0.7294444444444445,0.7111111111111112
9003,linear,uniform,0.7316666666666666,0.7266666666666666
9003,nonlinear,capability,0.7238888888888889,0.7294444444444445
9003,nonlinear,difficulty,0.7677777777777778,0.7583333333333333
9003,nonlinear,failure,0.7172222222222223,0.6961111111111111
9003,nonlinear,family,0.736111111111111,0.7188888888888889
9003,nonlinear,random_gran,0.7305555555555555,0.7133333333333333
9003,nonlinear,uniform,0.7311111111111112,0.726111111111111
9003,tabular,capability,0.7461111111111111,0.7361111111111112
9003,tabular,difficulty,0.7216666666666667,0.7177777777777777
9003,tabular,failure,0.6972222222222223,0.6805555555555557
9003,tabular,family,0.7077777777777777,0.7005555555555555
9003,tabular,random_gran,0.7116666666666666,0.693888888888889
9003,tabular,uniform,0.6983333333333333,0.6816666666666666
9004,linear,capability,0.7655555555555557,0.7149999999999999
9004,linear,difficulty,0.7927777777777778,0.7477777777777778
9004,linear,failure,0.7477777777777778,0.6905555555555556
9004,linear,family,0.7583333333333333,0.6938888888888889
9004,linear,random_gran,0.7694444444444444,0.7172222222222221
9004,linear,uniform,0.7600000000000001,0.6888888888888888
9004,nonlinear,capability,0.771111111111111,0.721111111111111
9004,nonlinear,difficulty,0.7883333333333332,0.7472222222222222
9004,nonlinear,failure,0.7433333333333333,0.6955555555555556
9004,nonlinear,family,0.7583333333333333,0.695
9004,nonlinear,random_gran,0.773888888888889,0.705
9004,nonlinear,uniform,0.7605555555555555,0.7144444444444445
9004,tabular,capability,0.7555555555555555,0.6988888888888889
9004,tabular,difficulty,0.7538888888888889,0.7144444444444445
9004,tabular,failure,0.7433333333333333,0.6738888888888889
9004,tabular,family,0.7405555555555555,0.6705555555555556
9004,tabular,random_gran,0.7549999999999999,0.6955555555555556
9004,tabular,uniform,0.7516666666666666,0.6888888888888888
9005,linear,capability,0.7455555555555554,0.6844444444444445
9005,linear,difficulty,0.7555555555555555,0.7077777777777777
9005,linear,failure,0.7177777777777777,0.6538888888888889
9005,linear,family,0.7294444444444445,0.6661111111111112
9005,linear,random_gran,0.7600000000000001,0.7005555555555555
9005,linear,uniform,0.741111111111111,0.6788888888888889
9005,nonlinear,capability,0.7633333333333333,0.7072222222222223
9005,nonlinear,difficulty,0.7505555555555556,0.7050000000000001
9005,nonlinear,failure,0.7044444444444444,0.6588888888888889
9005,nonlinear,family,0.7138888888888889,0.6683333333333333
9005,nonlinear,random_gran,0.73,0.6777777777777777
9005,nonlinear,uniform,0.7455555555555554,0.6927777777777777
9005,tabular,capability,0.7261111111111113,0.6722222222222222
9005,tabular,difficulty,0.7366666666666667,0.6727777777777778
9005,tabular,failure,0.68,0.6349999999999999
9005,tabular,family,0.726111111111111,0.6644444444444445
9005,tabular,random_gran,0.7155555555555555,0.6544444444444444
9005,tabular,uniform,0.7044444444444444,0.6383333333333333
9006,linear,capability,0.7616666666666667,0.6916666666666668
9006,linear,difficulty,0.7855555555555555,0.7177777777777777
9006,linear,failure,0.73,0.6611111111111111
9006,linear,family,0.7422222222222222,0.6755555555555556
9006,linear,random_gran,0.7600000000000001,0.6861111111111112
9006,linear,uniform,0.7305555555555555,0.6627777777777778
9006,nonlinear,capability,0.7616666666666667,0.695
9006,nonlinear,difficulty,0.7816666666666666,0.7111111111111112
9006,nonlinear,failure,0.7527777777777778,0.6738888888888889
9006,nonlinear,family,0.7505555555555556,0.6605555555555555
9006,nonlinear,random_gran,0.7511111111111112,0.6727777777777778
9006,nonlinear,uniform,0.7483333333333334,0.6838888888888889
9006,tabular,capability,0.7333333333333333,0.6649999999999999
9006,tabular,difficulty,0.7555555555555555,0.6855555555555556
9006,tabular,failure,0.7222222222222223,0.6394444444444445
9006,tabular,family,0.7044444444444444,0.6366666666666667
9006,tabular,random_gran,0.725,0.6505555555555556
9006,tabular,uniform,0.7216666666666667,0.6527777777777778
9007,linear,capability,0.7555555555555555,0.7105555555555556
9007,linear,difficulty,0.7783333333333333,0.7383333333333333
9007,linear,failure,0.7338888888888889,0.6916666666666668
9007,linear,family,0.7566666666666667,0.708888888888889
9007,linear,random_gran,0.7333333333333334,0.7000000000000001
9007,linear,uniform,0.7416666666666666,0.7022222222222222
9007,nonlinear,capability,0.7544444444444446,0.7144444444444445
9007,nonlinear,difficulty,0.7811111111111112,0.7472222222222222
9007,nonlinear,failure,0.7494444444444444,0.7033333333333333
9007,nonlinear,family,0.7288888888888888,0.6972222222222223
9007,nonlinear,random_gran,0.7544444444444446,0.7200000000000001
9007,nonlinear,uniform,0.7366666666666667,0.7050000000000001
9007,tabular,capability,0.741111111111111,0.7011111111111111
9007,tabular,difficulty,0.7527777777777778,0.7083333333333334
9007,tabular,failure,0.7133333333333334,0.6644444444444444
9007,tabular,family,0.7333333333333334,0.6838888888888889
9007,tabular,random_gran,0.7283333333333334,0.6916666666666668
9007,tabular,uniform,0.7272222222222222,0.681111111111111
9008,linear,capability,0.7699999999999999,0.7122222222222222
9008,linear,difficulty,0.7866666666666666,0.7277777777777777
9008,linear,failure,0.7438888888888888,0.6755555555555555
9008,linear,family,0.7472222222222221,0.6805555555555555
9008,linear,random_gran,0.7672222222222222,0.7027777777777778
9008,linear,uniform,0.7611111111111111,0.6922222222222222
9008,nonlinear,capability,0.7794444444444445,0.7183333333333333
9008,nonlinear,difficulty,0.7822222222222223,0.7205555555555555
9008,nonlinear,failure,0.745,0.6788888888888889
9008,nonlinear,family,0.7566666666666667,0.6961111111111111
9008,nonlinear,random_gran,0.77,0.7077777777777778
9008,nonlinear,uniform,0.7633333333333333,0.7022222222222222
9008,tabular,capability,0.7566666666666667,0.6855555555555556
9008,tabular,difficulty,0.7583333333333334,0.6905555555555556
9008,tabular,failure,0.7000000000000001,0.6272222222222222
9008,tabular,family,0.7227777777777776,0.6627777777777778
9008,tabular,random_gran,0.7344444444444443,0.6705555555555556
9008,tabular,uniform,0.7294444444444445,0.6533333333333333
9009,linear,capability,0.785,0.7294444444444445
9009,linear,difficulty,0.7894444444444444,0.7322222222222221
9009,linear,failure,0.7411111111111112,0.6827777777777778
9009,linear,family,0.751111111111111,0.6822222222222223
9009,linear,random_gran,0.7738888888888887,0.7116666666666666
9009,linear,uniform,0.7761111111111112,0.7083333333333334
9009,nonlinear,capability,0.7883333333333332,0.7399999999999999
9009,nonlinear,difficulty,0.7983333333333333,0.7377777777777778
9009,nonlinear,failure,0.7483333333333334,0.6816666666666666
9009,nonlinear,family,0.7688888888888888,0.7133333333333334
9009,nonlinear,random_gran,0.7711111111111112,0.7083333333333334
9009,nonlinear,uniform,0.7627777777777777,0.7016666666666667
9009,tabular,capability,0.7633333333333333,0.701111111111111
9009,tabular,difficulty,0.755,0.7066666666666666
9009,tabular,failure,0.7183333333333333,0.6561111111111112
9009,tabular,family,0.7149999999999999,0.6583333333333333
9009,tabular,random_gran,0.7627777777777777,0.7005555555555555
9009,tabular,uniform,0.7261111111111113,0.6627777777777778
9010,linear,capability,0.7638888888888888,0.7116666666666666
9010,linear,difficulty,0.7755555555555556,0.73
9010,linear,failure,0.7416666666666667,0.6905555555555555
9010,linear,family,0.7372222222222223,0.68
9010,linear,random_gran,0.7394444444444446,0.6877777777777778
9010,linear,uniform,0.7538888888888889,0.7072222222222222
9010,nonlinear,capability,0.7616666666666667,0.7133333333333333
9010,nonlinear,difficulty,0.778888888888889,0.7316666666666666
9010,nonlinear,failure,0.7155555555555555,0.6683333333333333
9010,nonlinear,family,0.755,0.6994444444444444
9010,nonlinear,random_gran,0.7566666666666665,0.7022222222222222
9010,nonlinear,uniform,0.7744444444444444,0.7283333333333334
9010,tabular,capability,0.7611111111111111,0.7077777777777778
9010,tabular,difficulty,0.766111111111111,0.7094444444444443
9010,tabular,failure,0.6983333333333333,0.6366666666666666
9010,tabular,family,0.7355555555555556,0.668888888888889
9010,tabular,random_gran,0.7238888888888889,0.6644444444444444
9010,tabular,uniform,0.7266666666666666,0.6644444444444444
9011,linear,capability,0.7755555555555556,0.7644444444444445
9011,linear,difficulty,0.7766666666666667,0.765
9011,linear,failure,0.7488888888888888,0.728888888888889
9011,linear,family,0.7433333333333335,0.7288888888888888
9011,linear,random_gran,0.7561111111111112,0.7394444444444445
9011,linear,uniform,0.7538888888888889,0.7283333333333334
9011,nonlinear,capability,0.7727777777777778,0.7600000000000001
9011,nonlinear,difficulty,0.7811111111111111,0.7677777777777778
9011,nonlinear,failure,0.7444444444444445,0.7122222222222222
9011,nonlinear,family,0.7433333333333333,0.721111111111111
9011,nonlinear,random_gran,0.7716666666666666,0.7566666666666667
9011,nonlinear,uniform,0.7549999999999999,0.7388888888888889
9011,tabular,capability,0.7483333333333334,0.7322222222222221
9011,tabular,difficulty,0.7494444444444444,0.7344444444444443
9011,tabular,failure,0.7088888888888888,0.6883333333333334
9011,tabular,family,0.7077777777777777,0.6861111111111112
9011,tabular,random_gran,0.7338888888888889,0.7111111111111111
9011,tabular,uniform,0.7277777777777779,0.7055555555555556
9012,linear,capability,0.7561111111111112,0.7355555555555555
9012,linear,difficulty,0.7694444444444445,0.7533333333333333
9012,linear,failure,0.715,0.7022222222222222
9012,linear,family,0.7377777777777778,0.7138888888888889
9012,linear,random_gran,0.7411111111111112,0.7133333333333334
9012,linear,uniform,0.7411111111111112,0.7205555555555555
9012,nonlinear,capability,0.7538888888888889,0.7355555555555555
9012,nonlinear,difficulty,0.7755555555555554,0.7577777777777778
9012,nonlinear,failure,0.7416666666666666,0.7222222222222223
9012,nonlinear,family,0.7338888888888889,0.6961111111111111
9012,nonlinear,random_gran,0.7277777777777779,0.7050000000000001
9012,nonlinear,uniform,0.75,0.7250000000000001
9012,tabular,capability,0.7488888888888888,0.7244444444444444
9012,tabular,difficulty,0.7494444444444445,0.7361111111111112
9012,tabular,failure,0.7072222222222223,0.6944444444444443
9012,tabular,family,0.7011111111111111,0.7005555555555555
9012,tabular,random_gran,0.7194444444444444,0.6988888888888889
9012,tabular,uniform,0.7305555555555555,0.7122222222222222
9013,linear,capability,0.7666666666666666,0.6999999999999998
9013,linear,difficulty,0.7766666666666667,0.7138888888888889
9013,linear,failure,0.7172222222222221,0.6416666666666666
9013,linear,family,0.75,0.6711111111111111
9013,linear,random_gran,0.7444444444444445,0.6866666666666665
9013,linear,uniform,0.7316666666666668,0.6683333333333333
9013,nonlinear,capability,0.7633333333333333,0.69
9013,nonlinear,difficulty,0.7827777777777779,0.7216666666666667
9013,nonlinear,failure,0.725,0.6455555555555555
9013,nonlinear,family,0.7466666666666667,0.668888888888889
9013,nonlinear,random_gran,0.7472222222222221,0.6766666666666667
9013,nonlinear,uniform,0.7477777777777778,0.6905555555555555
9013,tabular,capability,0.745,0.6644444444444445
9013,tabular,difficulty,0.7627777777777777,0.6927777777777777
9013,tabular,failure,0.71,0.6188888888888889
9013,tabular,family,0.7122222222222222,0.6205555555555555
9013,tabular,random_gran,0.7238888888888889,0.6355555555555555
9013,tabular,uniform,0.7183333333333333,0.6355555555555555
9014,linear,capability,0.773888888888889,0.7322222222222222
9014,linear,difficulty,0.7805555555555556,0.7438888888888889
9014,linear,failure,0.7572222222222221,0.715
9014,linear,family,0.7394444444444445,0.7005555555555555
9014,linear,random_gran,0.7655555555555557,0.7205555555555555
9014,linear,uniform,0.7533333333333333,0.7072222222222222
9014,nonlinear,capability,0.7844444444444445,0.7472222222222222
9014,nonlinear,difficulty,0.778888888888889,0.7372222222222221
9014,nonlinear,failure,0.7388888888888889,0.7033333333333335
9014,nonlinear,family,0.7516666666666666,0.7144444444444445
9014,nonlinear,random_gran,0.7644444444444445,0.7172222222222223
9014,nonlinear,uniform,0.7583333333333333,0.7116666666666668
9014,tabular,capability,0.7494444444444444,0.7044444444444444
9014,tabular,difficulty,0.7677777777777778,0.71
9014,tabular,failure,0.7305555555555555,0.6616666666666666
9014,tabular,family,0.7238888888888889,0.6677777777777778
9014,tabular,random_gran,0.7477777777777778,0.6900000000000001
9014,tabular,uniform,0.7488888888888888,0.6966666666666667
9015,linear,capability,0.775,0.7111111111111111
9015,linear,difficulty,0.7783333333333333,0.7172222222222223
9015,linear,failure,0.7433333333333335,0.6755555555555556
9015,linear,family,0.7400000000000001,0.6722222222222222
9015,linear,random_gran,0.7561111111111112,0.6872222222222223
9015,linear,uniform,0.7477777777777778,0.6761111111111111
9015,nonlinear,capability,0.7705555555555555,0.7144444444444445
9015,nonlinear,difficulty,0.793888888888889,0.7361111111111112
9015,nonlinear,failure,0.7222222222222222,0.6750000000000002
9015,nonlinear,family,0.741111111111111,0.6733333333333333
9015,nonlinear,random_gran,0.7627777777777777,0.6966666666666667
9015,nonlinear,uniform,0.7566666666666667,0.695
9015,tabular,capability,0.741111111111111,0.6749999999999999
9015,tabular,difficulty,0.7527777777777778,0.6983333333333333
9015,tabular,failure,0.6983333333333333,0.6416666666666667
9015,tabular,family,0.7200000000000001,0.6555555555555556
9015,tabular,random_gran,0.7222222222222222,0.6561111111111111
9015,tabular,uniform,0.7372222222222221,0.6683333333333333
9016,linear,capability,0.7744444444444444,0.7277777777777779
9016,linear,difficulty,0.765,0.7183333333333334
9016,linear,failure,0.7233333333333333,0.6777777777777777
9016,linear,family,0.7561111111111112,0.7105555555555556
9016,linear,random_gran,0.7566666666666668,0.7094444444444444
9016,linear,uniform,0.7661111111111113,0.7222222222222222
9016,nonlinear,capability,0.765,0.7161111111111111
9016,nonlinear,difficulty,0.7716666666666666,0.7200000000000001
9016,nonlinear,failure,0.735,0.6905555555555555
9016,nonlinear,family,0.7450000000000001,0.6966666666666667
9016,nonlinear,random_gran,0.7472222222222222,0.7011111111111111
9016,nonlinear,uniform,0.7466666666666667,0.6933333333333334
9016,tabular,capability,0.7400000000000001,0.6955555555555556
9016,tabular,difficulty,0.7594444444444445,0.7055555555555556
9016,tabular,failure,0.6794444444444444,0.6511111111111111
9016,tabular,family,0.6822222222222223,0.6449999999999999
9016,tabular,random_gran,0.7372222222222223,0.6944444444444445
9016,tabular,uniform,0.7183333333333334,0.6749999999999999
9017,linear,capability,0.7438888888888888,0.7016666666666667
9017,linear,difficulty,0.751111111111111,0.7116666666666666
9017,linear,failure,0.7222222222222222,0.6711111111111112
9017,linear,family,0.7183333333333333,0.6638888888888889
