seed,transfer,prevalence,budget,noise,level,success
9201,0.0,0.25,40,0.4,global,0.41333333333333333
9201,0.0,0.25,40,0.4,capability,0.4866666666666667
9201,0.0,0.25,40,0.4,family,0.4766666666666667
9201,0.0,0.25,40,0.4,failure,0.47333333333333333
9202,0.0,0.25,40,0.4,global,0.38
9202,0.0,0.25,40,0.4,capability,0.3933333333333333
9202,0.0,0.25,40,0.4,family,0.42333333333333334
9202,0.0,0.25,40,0.4,failure,0.46
9203,0.0,0.25,40,0.4,global,0.45
9203,0.0,0.25,40,0.4,capability,0.4633333333333333
9203,0.0,0.25,40,0.4,family,0.48333333333333334
9203,0.0,0.25,40,0.4,failure,0.5266666666666666
9204,0.0,0.25,40,0.4,global,0.5
9204,0.0,0.25,40,0.4,capability,0.54
9204,0.0,0.25,40,0.4,family,0.5166666666666667
9204,0.0,0.25,40,0.4,failure,0.56
9205,0.0,0.25,40,0.4,global,0.44666666666666666
9205,0.0,0.25,40,0.4,capability,0.5133333333333333
9205,0.0,0.25,40,0.4,family,0.5733333333333334
9205,0.0,0.25,40,0.4,failure,0.5733333333333334
9206,0.0,0.25,40,0.4,global,0.5166666666666667
9206,0.0,0.25,40,0.4,capability,0.4766666666666667
9206,0.0,0.25,40,0.4,family,0.47333333333333333
9206,0.0,0.25,40,0.4,failure,0.45666666666666667
9201,0.0,0.5,40,0.4,global,0.49333333333333335
9201,0.0,0.5,40,0.4,capability,0.5733333333333334
9201,0.0,0.5,40,0.4,family,0.58
9201,0.0,0.5,40,0.4,failure,0.58
9202,0.0,0.5,40,0.4,global,0.37666666666666665
9202,0.0,0.5,40,0.4,capability,0.44
9202,0.0,0.5,40,0.4,family,0.4766666666666667
9202,0.0,0.5,40,0.4,failure,0.5533333333333333
9203,0.0,0.5,40,0.4,global,0.46
9203,0.0,0.5,40,0.4,capability,0.5166666666666667
9203,0.0,0.5,40,0.4,family,0.55
9203,0.0,0.5,40,0.4,failure,0.6233333333333333
9204,0.0,0.5,40,0.4,global,0.46
9204,0.0,0.5,40,0.4,capability,0.5633333333333334
9204,0.0,0.5,40,0.4,family,0.56
9204,0.0,0.5,40,0.4,failure,0.6733333333333333
9205,0.0,0.5,40,0.4,global,0.4266666666666667
9205,0.0,0.5,40,0.4,capability,0.5166666666666667
9205,0.0,0.5,40,0.4,family,0.57
9205,0.0,0.5,40,0.4,failure,0.5933333333333334
9206,0.0,0.5,40,0.4,global,0.5233333333333333
9206,0.0,0.5,40,0.4,capability,0.5966666666666667
9206,0.0,0.5,40,0.4,family,0.6466666666666666
9206,0.0,0.5,40,0.4,failure,0.6366666666666667
9201,0.0,0.75,40,0.4,global,0.4633333333333333
9201,0.0,0.75,40,0.4,capability,0.5366666666666666
9201,0.0,0.75,40,0.4,family,0.6266666666666667
9201,0.0,0.75,40,0.4,failure,0.6466666666666666
9202,0.0,0.75,40,0.4,global,0.41333333333333333
9202,0.0,0.75,40,0.4,capability,0.5133333333333333
9202,0.0,0.75,40,0.4,family,0.55
9202,0.0,0.75,40,0.4,failure,0.6866666666666666
9203,0.0,0.75,40,0.4,global,0.44
9203,0.0,0.75,40,0.4,capability,0.5433333333333333
9203,0.0,0.75,40,0.4,family,0.5533333333333333
9203,0.0,0.75,40,0.4,failure,0.6266666666666667
9204,0.0,0.75,40,0.4,global,0.4633333333333333
9204,0.0,0.75,40,0.4,capability,0.6233333333333333
9204,0.0,0.75,40,0.4,family,0.6166666666666667
9204,0.0,0.75,40,0.4,failure,0.7
9205,0.0,0.75,40,0.4,global,0.36333333333333334
9205,0.0,0.75,40,0.4,capability,0.51
9205,0.0,0.75,40,0.4,family,0.6366666666666667
9205,0.0,0.75,40,0.4,failure,0.6933333333333334
9206,0.0,0.75,40,0.4,global,0.48333333333333334
9206,0.0,0.75,40,0.4,capability,0.53
9206,0.0,0.75,40,0.4,family,0.64
9206,0.0,0.75,40,0.4,failure,0.6633333333333333
9201,0.0,1.0,40,0.4,global,0.49666666666666665
9201,0.0,1.0,40,0.4,capability,0.5833333333333334
9201,0.0,1.0,40,0.4,family,0.6633333333333333
9201,0.0,1.0,40,0.4,failure,0.72
9202,0.0,1.0,40,0.4,global,0.41333333333333333
9202,0.0,1.0,40,0.4,capability,0.5433333333333333
9202,0.0,1.0,40,0.4,family,0.6433333333333333
9202,0.0,1.0,40,0.4,failure,0.75
9203,0.0,1.0,40,0.4,global,0.39
