noise,budget,transfer,prevalence,level,mean,std,count
0.0,40,0.0,0.25,capability,0.5072222222222222,0.035302921922927236,6
0.0,40,0.0,0.25,failure,0.5155555555555555,0.05127991448539698,6
0.0,40,0.0,0.25,family,0.505,0.04838502982443137,6
0.0,40,0.0,0.25,global,0.4388888888888889,0.03436190828142032,6
0.0,40,0.0,0.5,capability,0.5661111111111111,0.045724618541227224,6
0.0,40,0.0,0.5,failure,0.6266666666666666,0.04082482904638627,6
0.0,40,0.0,0.5,family,0.5805555555555556,0.062375802525825204,6
0.0,40,0.0,0.5,global,0.46277777777777773,0.07552532074790598,6
0.0,40,0.0,0.75,capability,0.5788888888888889,0.03667676628582711,6
0.0,40,0.0,0.75,failure,0.7138888888888889,0.020156792807793006,6
0.0,40,0.0,0.75,family,0.6461111111111112,0.061695188599244104,6
0.0,40,0.0,0.75,global,0.445,0.06277826941793725,6
0.0,40,0.0,1.0,capability,0.6261111111111112,0.06201851575373515,6
0.0,40,0.0,1.0,failure,0.8094444444444444,0.0187873085609132,6
0.0,40,0.0,1.0,family,0.7216666666666667,0.05536745935615574,6
0.0,40,0.0,1.0,global,0.4588888888888889,0.0889860580007819,6
0.0,40,0.25,0.25,capability,0.5494444444444445,0.057596939219088775,6
0.0,40,0.25,0.25,failure,0.5205555555555555,0.051485344912321825,6
0.0,40,0.25,0.25,family,0.5272222222222221,0.04832375383996144,6
0.0,40,0.25,0.25,global,0.4466666666666666,0.03583914681524161,6
0.0,40,0.25,0.5,capability,0.6266666666666666,0.047422451316743344,6
0.0,40,0.25,0.5,failure,0.6316666666666667,0.04004164498785398,6
0.0,40,0.25,0.5,family,0.6161111111111112,0.043990739766286986,6
0.0,40,0.25,0.5,global,0.4677777777777778,0.04118611776189032,6
0.0,40,0.25,0.75,capability,0.6483333333333333,0.0722880042299935,6
0.0,40,0.25,0.75,failure,0.7194444444444444,0.02274659111619598,6
0.0,40,0.25,0.75,family,0.685,0.03613247231446468,6
0.0,40,0.25,0.75,global,0.44999999999999996,0.012292725943057213,6
0.0,40,0.25,1.0,capability,0.6977777777777777,0.09229582069908972,6
0.0,40,0.25,1.0,failure,0.8127777777777778,0.020700688841642893,6
0.0,40,0.25,1.0,family,0.7538888888888889,0.039632571714951076,6
0.0,40,0.25,1.0,global,0.44944444444444437,0.04449302900039096,6
0.0,40,0.5,0.25,capability,0.5483333333333333,0.03822448313726572,6
0.0,40,0.5,0.25,failure,0.5294444444444445,0.03855251348869869,6
0.0,40,0.5,0.25,family,0.5411111111111111,0.05145296305760642,6
0.0,40,0.5,0.25,global,0.4888888888888889,0.04764063002973021,6
0.0,40,0.5,0.5,capability,0.5994444444444444,0.06049487275488417,6
0.0,40,0.5,0.5,failure,0.6416666666666667,0.04241331027977997,6
0.0,40,0.5,0.5,family,0.6172222222222222,0.04348264873188778,6
0.0,40,0.5,0.5,global,0.49666666666666665,0.0649786289653931,6
0.0,40,0.5,0.75,capability,0.6127777777777778,0.050173772106623674,6
0.0,40,0.5,0.75,failure,0.725,0.028499512666398757,6
0.0,40,0.5,0.75,family,0.6755555555555556,0.035255679868114335,6
0.0,40,0.5,0.75,global,0.47222222222222215,0.07262282061496976,6
0.0,40,0.5,1.0,capability,0.6466666666666666,0.07408703590297624,6
0.0,40,0.5,1.0,failure,0.8155555555555556,0.015587269259333498,6
0.0,40,0.5,1.0,family,0.7416666666666667,0.03391164991562635,6
0.0,40,0.5,1.0,global,0.47555555555555556,0.08825887847480066,6
0.0,40,0.75,0.25,capability,0.5733333333333334,0.04447221354708779,6
0.0,40,0.75,0.25,failure,0.5444444444444444,0.04124003807879841,6
0.0,40,0.75,0.25,family,0.5472222222222222,0.057558343990797414,6
0.0,40,0.75,0.25,global,0.4872222222222222,0.03395530831788991,6
0.0,40,0.75,0.5,capability,0.6388888888888888,0.04053347953190009,6
0.0,40,0.75,0.5,failure,0.6549999999999999,0.034689095308660496,6
0.0,40,0.75,0.5,family,0.6316666666666667,0.05369667897862338,6
0.0,40,0.75,0.5,global,0.49444444444444446,0.051062779080338024,6
0.0,40,0.75,0.75,capability,0.6522222222222221,0.05580388941708336,6
0.0,40,0.75,0.75,failure,0.7372222222222221,0.025941529695894194,6
0.0,40,0.75,0.75,family,0.6988888888888889,0.06389806697360226,6
0.0,40,0.75,0.75,global,0.48333333333333334,0.06253887679764578,6
0.0,40,0.75,1.0,capability,0.708888888888889,0.07500123455774034,6
0.0,40,0.75,1.0,failure,0.8238888888888889,0.027440170607395356,6
0.0,40,0.75,1.0,family,0.7555555555555555,0.06839969677212407,6
0.0,40,0.75,1.0,global,0.48055555555555557,0.09293765333495038,6
0.0,40,1.0,0.25,capability,0.57,0.051164223611599724,6
0.0,40,1.0,0.25,failure,0.5555555555555556,0.035444270288670005,6
0.0,40,1.0,0.25,family,0.5533333333333333,0.04163331998932265,6
0.0,40,1.0,0.25,global,0.5222222222222223,0.035444270288670025,6
0.0,40,1.0,0.5,capability,0.6316666666666667,0.07073424441763218,6
0.0,40,1.0,0.5,failure,0.6672222222222222,0.041010387121458027,6
0.0,40,1.0,0.5,family,0.6266666666666667,0.022803508501982785,6
0.0,40,1.0,0.5,global,0.5361111111111111,0.061550942466533545,6
0.0,40,1.0,0.75,capability,0.6422222222222222,0.06054077291532696,6
0.0,40,1.0,0.75,failure,0.7461111111111111,0.025941529695894253,6
0.0,40,1.0,0.75,family,0.6988888888888889,0.03757461712182645,6
0.0,40,1.0,0.75,global,0.5138888888888888,0.06294324309925453,6
0.0,40,1.0,1.0,capability,0.6744444444444445,0.058296813965417686,6
0.0,40,1.0,1.0,failure,0.8294444444444444,0.018308063392537828,6
0.0,40,1.0,1.0,family,0.7627777777777777,0.050790054436175125,6
0.0,40,1.0,1.0,global,0.5111111111111112,0.05009620374469138,6
0.0,80,0.0,0.25,capability,0.6394444444444444,0.0179402299832486,6
0.0,80,0.0,0.25,failure,0.5277777777777778,0.034167344166724546,6
0.0,80,0.0,0.25,family,0.5433333333333333,0.016055459438389742,6
0.0,80,0.0,0.25,global,0.6227777777777778,0.03241513135467356,6
0.0,80,0.0,0.5,capability,0.6944444444444445,0.028726036712104677,6
0.0,80,0.0,0.5,failure,0.6127777777777778,0.03356033814335455,6
0.0,80,0.0,0.5,family,0.6305555555555555,0.026784462051857732,6
0.0,80,0.0,0.5,global,0.62,0.05308274463305169,6
0.0,80,0.0,0.75,capability,0.7577777777777778,0.04124003807879835,6
0.0,80,0.0,0.75,failure,0.7133333333333334,0.011155467020454328,6
0.0,80,0.0,0.75,family,0.7305555555555555,0.02143897454706333,6
0.0,80,0.0,0.75,global,0.6455555555555555,0.08737318853100232,6
0.0,80,0.0,1.0,capability,0.8011111111111111,0.03487543972907433,6
0.0,80,0.0,1.0,failure,0.8072222222222223,0.012546210878484747,6
0.0,80,0.0,1.0,family,0.8066666666666666,0.016465452046971262,6
0.0,80,0.0,1.0,global,0.64,0.090234263017006,6
0.0,80,0.25,0.25,capability,0.6505555555555556,0.028551448040076442,6
0.0,80,0.25,0.25,failure,0.5372222222222222,0.023037811110015214,6
0.0,80,0.25,0.25,family,0.555,0.016431676725154998,6
0.0,80,0.25,0.25,global,0.6588888888888889,0.04256585312021658,6
0.0,80,0.25,0.5,capability,0.6983333333333333,0.030386400466875477,6
0.0,80,0.25,0.5,failure,0.6183333333333333,0.03740172307379558,6
