noise,budget,transfer,prevalence,winner,winner_mean,runner_up,margin
0.0,40,0.0,0.25,failure,0.5155555555555555,capability,0.008333333333333304
0.0,40,0.0,0.5,failure,0.6266666666666666,family,0.04611111111111099
0.0,40,0.0,0.75,failure,0.7138888888888889,family,0.06777777777777771
0.0,40,0.0,1.0,failure,0.8094444444444444,family,0.08777777777777773
0.0,40,0.25,0.25,capability,0.5494444444444445,family,0.022222222222222365
0.0,40,0.25,0.5,failure,0.6316666666666667,capability,0.0050000000000001155
0.0,40,0.25,0.75,failure,0.7194444444444444,family,0.03444444444444439
0.0,40,0.25,1.0,failure,0.8127777777777778,family,0.05888888888888888
0.0,40,0.5,0.25,capability,0.5483333333333333,family,0.007222222222222241
0.0,40,0.5,0.5,failure,0.6416666666666667,family,0.02444444444444449
0.0,40,0.5,0.75,failure,0.725,family,0.0494444444444444
0.0,40,0.5,1.0,failure,0.8155555555555556,family,0.07388888888888889
0.0,40,0.75,0.25,capability,0.5733333333333334,family,0.026111111111111196
0.0,40,0.75,0.5,failure,0.6549999999999999,capability,0.016111111111111076
0.0,40,0.75,0.75,failure,0.7372222222222221,family,0.03833333333333322
0.0,40,0.75,1.0,failure,0.8238888888888889,family,0.06833333333333336
0.0,40,1.0,0.25,capability,0.57,failure,0.014444444444444371
0.0,40,1.0,0.5,failure,0.6672222222222222,capability,0.03555555555555545
0.0,40,1.0,0.75,failure,0.7461111111111111,family,0.047222222222222165
0.0,40,1.0,1.0,failure,0.8294444444444444,family,0.06666666666666676
0.0,80,0.0,0.25,capability,0.6394444444444444,global,0.016666666666666607
0.0,80,0.0,0.5,capability,0.6944444444444445,family,0.063888888888889
0.0,80,0.0,0.75,capability,0.7577777777777778,family,0.02722222222222226
0.0,80,0.0,1.0,failure,0.8072222222222223,family,0.0005555555555556424
0.0,80,0.25,0.25,global,0.6588888888888889,capability,0.008333333333333304
0.0,80,0.25,0.5,capability,0.6983333333333333,family,0.05499999999999983
0.0,80,0.25,0.75,capability,0.7622222222222222,family,0.028888888888888853
0.0,80,0.25,1.0,failure,0.8116666666666666,family,0.0011111111111110628
0.0,80,0.5,0.25,capability,0.6672222222222223,global,0.0038888888888889417
0.0,80,0.5,0.5,capability,0.715,global,0.0494444444444444
0.0,80,0.5,0.75,capability,0.7733333333333334,family,0.028888888888888964
0.0,80,0.5,1.0,family,0.8211111111111111,failure,0.0038888888888889417
0.0,80,0.75,0.25,global,0.6877777777777778,capability,0.01388888888888895
0.0,80,0.75,0.5,capability,0.7172222222222221,family,0.053888888888888764
0.0,80,0.75,0.75,capability,0.775,family,0.020000000000000018
0.0,80,0.75,1.0,failure,0.8250000000000001,family,0.0016666666666668162
0.0,80,1.0,0.25,global,0.7088888888888888,capability,0.012777777777777666
0.0,80,1.0,0.5,capability,0.7322222222222222,global,0.05499999999999994
0.0,80,1.0,0.75,capability,0.8005555555555556,family,0.036111111111111094
0.0,80,1.0,1.0,capability,0.8372222222222222,family,0.007777777777777772
0.0,160,0.0,0.25,global,0.8144444444444444,capability,0.12388888888888883
0.0,160,0.0,0.5,global,0.8422222222222223,capability,0.10000000000000009
0.0,160,0.0,0.75,global,0.8444444444444444,capability,0.05555555555555558
0.0,160,0.0,1.0,global,0.8544444444444445,capability,0.025000000000000022
0.0,160,0.25,0.25,global,0.8377777777777777,capability,0.1366666666666666
0.0,160,0.25,0.5,global,0.8494444444444444,capability,0.10000000000000009
0.0,160,0.25,0.75,global,0.8483333333333333,capability,0.050555555555555465
0.0,160,0.25,1.0,global,0.8522222222222222,capability,0.01722222222222225
0.0,160,0.5,0.25,global,0.8511111111111113,capability,0.1444444444444446
0.0,160,0.5,0.5,global,0.86,capability,0.10444444444444445
0.0,160,0.5,0.75,global,0.8555555555555555,capability,0.057222222222222174
0.0,160,0.5,1.0,global,0.8516666666666667,capability,0.012222222222222134
0.0,160,0.75,0.25,global,0.8644444444444445,capability,0.14277777777777778
0.0,160,0.75,0.5,global,0.8633333333333333,capability,0.09499999999999986
0.0,160,0.75,0.75,global,0.8577777777777778,capability,0.0477777777777777
0.0,160,0.75,1.0,global,0.8633333333333333,capability,0.015555555555555434
0.0,160,1.0,0.25,global,0.87,capability,0.14611111111111108
0.0,160,1.0,0.5,global,0.8733333333333334,capability,0.1016666666666668
0.0,160,1.0,0.75,global,0.8716666666666667,capability,0.05944444444444452
0.0,160,1.0,1.0,global,0.8683333333333333,capability,0.019444444444444375
0.2,40,0.0,0.25,failure,0.5133333333333333,capability,0.004444444444444473
0.2,40,0.0,0.5,failure,0.6288888888888889,capability,0.07333333333333336
0.2,40,0.0,0.75,failure,0.7055555555555556,family,0.12722222222222224
0.2,40,0.0,1.0,failure,0.7966666666666667,family,0.1544444444444445
0.2,40,0.25,0.25,capability,0.5272222222222221,failure,0.00722222222222213
0.2,40,0.25,0.5,failure,0.6272222222222222,family,0.039444444444444504
0.2,40,0.25,0.75,failure,0.7083333333333334,family,0.07000000000000006
0.2,40,0.25,1.0,failure,0.7933333333333333,family,0.08333333333333337
0.2,40,0.5,0.25,capability,0.5438888888888889,failure,0.008333333333333415
0.2,40,0.5,0.5,failure,0.6361111111111111,family,0.03444444444444439
0.2,40,0.5,0.75,failure,0.6988888888888889,family,0.04999999999999993
0.2,40,0.5,1.0,failure,0.7811111111111111,family,0.06833333333333336
0.2,40,0.75,0.25,capability,0.5683333333333334,family,0.01666666666666672
0.2,40,0.75,0.5,failure,0.6588888888888889,family,0.026111111111111085
0.2,40,0.75,0.75,failure,0.7377777777777778,family,0.05166666666666675
0.2,40,0.75,1.0,failure,0.8183333333333334,family,0.06500000000000006
0.2,40,1.0,0.25,capability,0.5822222222222222,failure,0.026666666666666727
0.2,40,1.0,0.5,failure,0.6644444444444444,capability,0.032777777777777684
0.2,40,1.0,0.75,failure,0.7322222222222222,family,0.05611111111111111
0.2,40,1.0,1.0,failure,0.813888888888889,family,0.09111111111111114
0.2,80,0.0,0.25,capability,0.6705555555555556,global,0.04055555555555557
0.2,80,0.0,0.5,capability,0.7094444444444444,family,0.043888888888888866
0.2,80,0.0,0.75,capability,0.7733333333333333,family,0.026111111111111085
0.2,80,0.0,1.0,family,0.8177777777777777,failure,0.006111111111111067
0.2,80,0.25,0.25,capability,0.6744444444444445,global,0.022222222222222365
0.2,80,0.25,0.5,capability,0.7144444444444445,family,0.04111111111111121
0.2,80,0.25,0.75,capability,0.7644444444444445,family,0.012222222222222245
0.2,80,0.25,1.0,family,0.8205555555555555,failure,0.0005555555555555314
0.2,80,0.5,0.25,capability,0.6977777777777777,global,0.02444444444444438
0.2,80,0.5,0.5,capability,0.735,family,0.06500000000000006
0.2,80,0.5,0.75,capability,0.7722222222222223,family,0.014444444444444482
0.2,80,0.5,1.0,family,0.8222222222222223,failure,0.0011111111111111738
0.2,80,0.75,0.25,capability,0.6966666666666667,global,0.01333333333333342
0.2,80,0.75,0.5,capability,0.7394444444444445,family,0.05055555555555569
0.2,80,0.75,0.75,capability,0.7838888888888889,family,0.014444444444444371
0.2,80,0.75,1.0,family,0.8283333333333333,failure,0.0022222222222221255
0.2,80,1.0,0.25,capability,0.7077777777777778,global,0.0016666666666668162
0.2,80,1.0,0.5,capability,0.7438888888888888,family,0.05555555555555547
0.2,80,1.0,0.75,capability,0.7983333333333333,family,0.02388888888888896
0.2,80,1.0,1.0,capability,0.831111111111111,family,0.0
0.2,160,0.0,0.25,global,0.8188888888888889,capability,0.07944444444444443
0.2,160,0.0,0.5,global,0.8327777777777777,capability,0.05277777777777781
0.2,160,0.0,0.75,global,0.8294444444444444,capability,0.01388888888888884
0.2,160,0.0,1.0,capability,0.8394444444444445,global,0.009444444444444478
0.2,160,0.25,0.25,global,0.8388888888888889,capability,0.1100000000000001
0.2,160,0.25,0.5,global,0.8450000000000001,capability,0.07611111111111124
0.2,160,0.25,0.75,global,0.8411111111111111,capability,0.0344444444444445
0.2,160,0.25,1.0,capability,0.8377777777777777,global,0.002777777777777768
0.2,160,0.5,0.25,global,0.8472222222222223,capability,0.08388888888888901
0.2,160,0.5,0.5,global,0.8533333333333334,capability,0.05777777777777782
0.2,160,0.5,0.75,global,0.8505555555555556,capability,0.029444444444444495
0.2,160,0.5,1.0,global,0.8533333333333334,capability,0.0038888888888889417
0.2,160,0.75,0.25,global,0.8633333333333333,capability,0.08111111111111102
0.2,160,0.75,0.5,global,0.8638888888888889,capability,0.05555555555555569
0.2,160,0.75,0.75,global,0.8633333333333333,capability,0.029444444444444495
0.2,160,0.75,1.0,capability,0.8561111111111112,global,0.0033333333333334103
0.2,160,1.0,0.25,global,0.8616666666666667,capability,0.08333333333333337
0.2,160,1.0,0.5,global,0.8638888888888889,capability,0.05222222222222228
0.2,160,1.0,0.75,global,0.8611111111111112,capability,0.023333333333333428
0.2,160,1.0,1.0,capability,0.8561111111111112,global,0.004444444444444473
0.4,40,0.0,0.25,failure,0.5083333333333333,family,0.01722222222222225
0.4,40,0.0,0.5,failure,0.61,family,0.0461111111111111
0.4,40,0.0,0.75,failure,0.6694444444444444,family,0.06555555555555548
0.4,40,0.0,1.0,failure,0.7494444444444445,family,0.08166666666666667
0.4,40,0.25,0.25,capability,0.5222222222222223,family,0.014444444444444482
0.4,40,0.25,0.5,failure,0.6027777777777777,family,0.026666666666666616
0.4,40,0.25,0.75,failure,0.65,family,0.0427777777777778
0.4,40,0.25,1.0,failure,0.7188888888888889,family,0.04944444444444451
0.4,40,0.5,0.25,capability,0.5422222222222222,failure,0.01722222222222214
0.4,40,0.5,0.5,failure,0.6155555555555555,capability,0.01777777777777767
0.4,40,0.5,0.75,failure,0.6699999999999999,capability,0.06222222222222218
0.4,40,0.5,1.0,failure,0.7355555555555555,family,0.10111111111111104
0.4,40,0.75,0.25,capability,0.5483333333333333,family,0.009444444444444478
0.4,40,0.75,0.5,failure,0.6316666666666667,family,0.043333333333333335
0.4,40,0.75,0.75,failure,0.6961111111111111,family,0.0855555555555556
0.4,40,0.75,1.0,failure,0.7683333333333334,family,0.11777777777777787
0.4,40,1.0,0.25,capability,0.5738888888888889,failure,0.021666666666666612
