kind,comparison,paired_sd,target_delta_pp,n80_approx
tabular,difficulty-uniform,0.0,0.25,0
tabular,difficulty-uniform,0.0,0.5,0
tabular,difficulty-uniform,0.0,1.0,0
tabular,capability-failure,0.0064978628965392995,0.25,53
tabular,capability-failure,0.0064978628965392995,0.5,14
tabular,capability-failure,0.0064978628965392995,1.0,4
tabular,family-failure,0.008683856097676074,0.25,95
tabular,family-failure,0.008683856097676074,0.5,24
tabular,family-failure,0.008683856097676074,1.0,6
linear,difficulty-uniform,0.0021898222844392956,0.25,7
linear,difficulty-uniform,0.0021898222844392956,0.5,2
linear,difficulty-uniform,0.0021898222844392956,1.0,1
linear,capability-failure,0.003221818889860882,0.25,14
linear,capability-failure,0.003221818889860882,0.5,4
linear,capability-failure,0.003221818889860882,1.0,1
linear,family-failure,0.0034027852368936026,0.25,15
linear,family-failure,0.0034027852368936026,0.5,4
linear,family-failure,0.0034027852368936026,1.0,1
nonlinear,difficulty-uniform,0.002536286367508899,0.25,9
nonlinear,difficulty-uniform,0.002536286367508899,0.5,3
nonlinear,difficulty-uniform,0.002536286367508899,1.0,1
nonlinear,capability-failure,0.0023939494881986983,0.25,8
nonlinear,capability-failure,0.0023939494881986983,0.5,2
nonlinear,capability-failure,0.0023939494881986983,1.0,1
nonlinear,family-failure,0.0027519264916063277,0.25,10
nonlinear,family-failure,0.0027519264916063277,0.5,3
nonlinear,family-failure,0.0027519264916063277,1.0,1
