axis,value,seed,level,success
entangle,0.0,9301,global,0.61
entangle,0.0,9301,capability,0.6866666666666666
entangle,0.0,9301,family,0.6833333333333333
entangle,0.0,9301,failure,0.6433333333333333
entangle,0.0,9302,global,0.6033333333333334
entangle,0.0,9302,capability,0.7233333333333334
entangle,0.0,9302,family,0.6766666666666666
entangle,0.0,9302,failure,0.6433333333333333
entangle,0.0,9303,global,0.54
entangle,0.0,9303,capability,0.74
entangle,0.0,9303,family,0.6733333333333333
entangle,0.0,9303,failure,0.66
entangle,0.0,9304,global,0.6266666666666667
entangle,0.0,9304,capability,0.69
entangle,0.0,9304,family,0.6166666666666667
entangle,0.0,9304,failure,0.5666666666666667
entangle,0.0,9305,global,0.53
entangle,0.0,9305,capability,0.7166666666666667
entangle,0.0,9305,family,0.7
entangle,0.0,9305,failure,0.6633333333333333
entangle,0.0,9306,global,0.6733333333333333
entangle,0.0,9306,capability,0.71
entangle,0.0,9306,family,0.6933333333333334
entangle,0.0,9306,failure,0.6533333333333333
entangle,0.0,9307,global,0.6333333333333333
entangle,0.0,9307,capability,0.7133333333333334
entangle,0.0,9307,family,0.6933333333333334
entangle,0.0,9307,failure,0.6833333333333333
entangle,0.0,9308,global,0.5866666666666667
entangle,0.0,9308,capability,0.7333333333333333
entangle,0.0,9308,family,0.68
entangle,0.0,9308,failure,0.65
entangle,0.0,9309,global,0.6666666666666666
entangle,0.0,9309,capability,0.7366666666666667
entangle,0.0,9309,family,0.6866666666666666
entangle,0.0,9309,failure,0.6566666666666666
entangle,0.0,9310,global,0.6
entangle,0.0,9310,capability,0.72
entangle,0.0,9310,family,0.6633333333333333
entangle,0.0,9310,failure,0.6266666666666667
entangle,0.25,9301,global,0.7033333333333334
entangle,0.25,9301,capability,0.7433333333333333
entangle,0.25,9301,family,0.6766666666666666
entangle,0.25,9301,failure,0.6566666666666666
entangle,0.25,9302,global,0.6566666666666666
entangle,0.25,9302,capability,0.6833333333333333
entangle,0.25,9302,family,0.6333333333333333
entangle,0.25,9302,failure,0.6333333333333333
entangle,0.25,9303,global,0.6033333333333334
entangle,0.25,9303,capability,0.7166666666666667
entangle,0.25,9303,family,0.69
entangle,0.25,9303,failure,0.6833333333333333
entangle,0.25,9304,global,0.6366666666666667
entangle,0.25,9304,capability,0.6866666666666666
entangle,0.25,9304,family,0.6166666666666667
entangle,0.25,9304,failure,0.59
entangle,0.25,9305,global,0.71
entangle,0.25,9305,capability,0.7333333333333333
entangle,0.25,9305,family,0.64
entangle,0.25,9305,failure,0.6066666666666667
entangle,0.25,9306,global,0.6766666666666666
entangle,0.25,9306,capability,0.7433333333333333
entangle,0.25,9306,family,0.6866666666666666
entangle,0.25,9306,failure,0.69
entangle,0.25,9307,global,0.6733333333333333
entangle,0.25,9307,capability,0.74
entangle,0.25,9307,family,0.6833333333333333
entangle,0.25,9307,failure,0.68
entangle,0.25,9308,global,0.71
entangle,0.25,9308,capability,0.76
entangle,0.25,9308,family,0.6933333333333334
entangle,0.25,9308,failure,0.69
entangle,0.25,9309,global,0.6733333333333333
entangle,0.25,9309,capability,0.6966666666666667
entangle,0.25,9309,family,0.6533333333333333
entangle,0.25,9309,failure,0.6733333333333333
