seed,level,support_entropy,coverage,state_repair,heldout,external,target_success,all_skill_gain
9101,global,0.6041820065169582,0.1450980392156863,0.3197800206103913,0.744,0.672,0.694,0.39800704148784005
9101,capability,0.48764557252115565,0.0784313725490196,0.5842372777133054,0.648,0.574,0.838,0.31533466345738814
9101,family,0.23997478679139989,0.027450980392156862,0.5461877066534897,0.532,0.438,0.822,0.17990644440792986
9101,failure,0.17815538629951197,0.03137254901960784,0.509664728768209,0.51,0.4,0.826,0.14492862940425502
9102,global,0.5942761947898086,0.1411764705882353,0.30594242667319943,0.744,0.692,0.704,0.3900691821926613
9102,capability,0.47462307392413816,0.07450980392156863,0.5832902388621124,0.648,0.624,0.874,0.29999992990459207
9102,family,0.23838595546864041,0.03137254901960784,0.6022501468043244,0.522,0.498,0.864,0.1766874776131998
9102,failure,0.1918477984409302,0.03137254901960784,0.6120969251827846,0.506,0.464,0.856,0.15528207160595087
9103,global,0.6198547249072519,0.14901960784313725,0.4068526920026644,0.728,0.696,0.728,0.39252250100371067
9103,capability,0.49943629711081927,0.09411764705882353,0.5965176830886312,0.622,0.604,0.854,0.3204913518070275
9103,family,0.26263357820646377,0.03529411764705882,0.6222617283486193,0.49,0.466,0.832,0.19326737121322085
9103,failure,0.2053248387296028,0.03137254901960784,0.6612661956191199,0.48,0.464,0.832,0.17536547256258395
9104,global,0.6100895481320702,0.13333333333333333,0.5154614518064804,0.736,0.722,0.85,0.4295629462234347
9104,capability,0.4959439536280877,0.09411764705882353,0.6170568016571141,0.622,0.614,0.854,0.3211346674296494
9104,family,0.24820514927194182,0.03137254901960784,0.5510418398594004,0.474,0.484,0.846,0.18655455450907402
9104,failure,0.18890058356072986,0.0392156862745098,0.6064663553263958,0.44,0.438,0.832,0.1636109173020335
9105,global,0.5687387551711813,0.12549019607843137,0.44142025696898723,0.7,0.69,0.75,0.38008835266609353
9105,capability,0.5061584835600941,0.09411764705882353,0.5262103283662725,0.634,0.618,0.824,0.34860819526421893
9105,family,0.2825513217591911,0.050980392156862744,0.5766554285822203,0.508,0.432,0.8,0.1752326046960598
9105,failure,0.18709325361282603,0.0392156862745098,0.6126111870812453,0.468,0.43,0.798,0.15075763766773634
9106,global,0.6140204514744245,0.14901960784313725,0.44498908012446053,0.728,0.72,0.758,0.428010880449979
9106,capability,0.4685976651898168,0.06666666666666667,0.6116826611586267,0.628,0.57,0.838,0.30557717847720195
9106,family,0.2697507842318749,0.043137254901960784,0.5897842689913224,0.476,0.446,0.812,0.18409957961615894
9106,failure,0.20341625731975962,0.03137254901960784,0.5421910663738837,0.484,0.424,0.806,0.15567040231735574
9107,global,0.5737282971899323,0.12941176470588237,0.36583723032246923,0.708,0.68,0.676,0.3881916280876776
9107,capability,0.4927988830599282,0.0784313725490196,0.6220400888377687,0.654,0.572,0.8,0.33129340400465684
9107,family,0.2302442955896449,0.027450980392156862,0.5889779449393866,0.546,0.404,0.824,0.1727962737074735
9107,failure,0.18020117028481736,0.03137254901960784,0.5213092939744288,0.51,0.386,0.828,0.1420299368438404
9108,global,0.5822590922342221,0.13725490196078433,0.4656957975786084,0.734,0.638,0.726,0.38342063864327613
9108,capability,0.4776350769562827,0.07058823529411765,0.6020328807957278,0.62,0.546,0.802,0.32161099514220554
9108,family,0.22284812411007923,0.027450980392156862,0.6344009109825846,0.53,0.436,0.798,0.1662080630035545
9108,failure,0.19039021527190994,0.03529411764705882,0.5792152631236522,0.512,0.402,0.79,0.15235784429868887
9109,global,0.5932306674611821,0.13725490196078433,0.46273993319090895,0.752,0.706,0.786,0.40616364349468753
9109,capability,0.488589848388023,0.0784313725490196,0.5682492679497906,0.612,0.63,0.842,0.31039448463155245
9109,family,0.23942023714929545,0.03137254901960784,0.5692085049276958,0.47,0.44,0.826,0.17060377971865504
9109,failure,0.15855824915117525,0.03137254901960784,0.6335163570929665,0.45,0.398,0.818,0.14108286748606413
9110,global,0.5851985171765915,0.13333333333333333,0.3259239570912046,0.738,0.682,0.64,0.39495782812448754
9110,capability,0.48304738782854906,0.0784313725490196,0.5278354151497349,0.608,0.578,0.758,0.31843636576516227
9110,family,0.27847803676978167,0.050980392156862744,0.5963439780143899,0.478,0.496,0.804,0.1943069202506841
9110,failure,0.23418626361695383,0.03137254901960784,0.5897468692840684,0.492,0.484,0.802,0.1819218725280784
9111,global,0.5642276567985565,0.12941176470588237,0.38137036950418485,0.664,0.67,0.652,0.3566931749731859
9111,capability,0.4725894822125608,0.07058823529411765,0.5871286963382046,0.616,0.624,0.834,0.32219543782621507
9111,family,0.2599740528758849,0.0392156862745098,0.6540081708038938,0.492,0.492,0.824,0.1894241518021637
9111,failure,0.1917108346843501,0.03529411764705882,0.5245283713712876,0.47,0.46,0.82,0.13939840324941322
9112,global,0.5955872770791297,0.13333333333333333,0.4070739883037751,0.754,0.688,0.73,0.4057673506360925
9112,capability,0.48661321011634817,0.08235294117647059,0.6339068260055649,0.636,0.574,0.836,0.34172613213647207
9112,family,0.24613941353768937,0.03529411764705882,0.6191644038889643,0.548,0.45,0.822,0.1736562852141097
9112,failure,0.21139559652610965,0.03137254901960784,0.6494921713042356,0.522,0.416,0.826,0.17668346944236454
9113,global,0.598492682768966,0.1450980392156863,0.31535893989536873,0.69,0.676,0.644,0.3898897592884829
9113,capability,0.461061192366333,0.07058823529411765,0.5542507113496098,0.616,0.598,0.796,0.29376558340849973
9113,family,0.20412820810834909,0.0196078431372549,0.6067097329120401,0.454,0.464,0.784,0.1763880372333077
9113,failure,0.21686762462107936,0.03137254901960784,0.5498102800002792,0.474,0.47,0.792,0.16279055164645523
9114,global,0.5805331905668643,0.13725490196078433,0.4521732972465005,0.698,0.656,0.76,0.37358464739117714
9114,capability,0.4703068349974748,0.06666666666666667,0.5694562770010267,0.64,0.564,0.832,0.3030495904371713
9114,family,0.2410469963130955,0.03137254901960784,0.5927147708715321,0.48,0.434,0.812,0.18056570144963896
9114,failure,0.19026529526318298,0.03529411764705882,0.5655011401299805,0.48,0.422,0.808,0.15693574850687958
9115,global,0.6252216305476541,0.1568627450980392,0.3613696364414633,0.742,0.7,0.692,0.41677834664090213
9115,capability,0.46830194758598115,0.0784313725490196,0.5919223333832001,0.668,0.624,0.842,0.3038798325057324
9115,family,0.29285245461718623,0.054901960784313725,0.5964472102419469,0.502,0.492,0.824,0.20019529733369285
9115,failure,0.2210569018189076,0.03137254901960784,0.5236919441139516,0.516,0.472,0.828,0.17152128783383752
9116,global,0.5545152040027548,0.12156862745098039,0.36716097947252285,0.698,0.666,0.684,0.3688642060653351
9116,capability,0.4591170940700679,0.06666666666666667,0.605339302562468,0.658,0.618,0.858,0.30504276507873423
9116,family,0.26314945904837356,0.0392156862745098,0.6107655662926621,0.514,0.526,0.84,0.19536406341240073
9116,failure,0.19949078517609,0.03137254901960784,0.636306201258226,0.496,0.492,0.842,0.16859516527090923
9117,global,0.5562264938093522,0.10980392156862745,0.4376157415294753,0.682,0.626,0.7,0.362037558813782
9117,capability,0.4694693629665483,0.07450980392156863,0.598445892912953,0.63,0.618,0.84,0.31166457936533143
9117,family,0.23768494398799325,0.03137254901960784,0.6413835795853837,0.486,0.468,0.818,0.17510562574896002
9117,failure,0.23009469564616244,0.03529411764705882,0.6697411046616983,0.512,0.478,0.82,0.17632015477882756
9118,global,0.58402272395923,0.13725490196078433,0.4850789182835747,0.728,0.69,0.796,0.40752706312528697
9118,capability,0.4757734915855636,0.07450980392156863,0.527130112021735,0.596,0.592,0.866,0.2976867338280777
9118,family,0.24503500032479764,0.03529411764705882,0.5943520761611745,0.502,0.454,0.848,0.18433827598509434
9118,failure,0.149137364708173,0.023529411764705882,0.6113902846865218,0.452,0.426,0.842,0.1450995714197637
9119,global,0.6030113526847095,0.1450980392156863,0.4289935589896163,0.738,0.702,0.76,0.3968867339476061
9119,capability,0.4822041752867537,0.08235294117647059,0.5127521820068657,0.586,0.566,0.796,0.28717817323814465
9119,family,0.2750720441055808,0.0392156862745098,0.541512015112112,0.46,0.446,0.776,0.1698248144722224
9119,failure,0.21716980655748505,0.03137254901960784,0.6259914437155814,0.468,0.43,0.79,0.17226150609614435
9120,global,0.556023784390217,0.12156862745098039,0.41396139069318344,0.688,0.636,0.762,0.3570567345114915
9120,capability,0.4743844133923823,0.06666666666666667,0.5796764752882422,0.622,0.572,0.848,0.3177456913831073
9120,family,0.2630574866500386,0.03529411764705882,0.564286851487823,0.506,0.428,0.832,0.18138914349769247
9120,failure,0.21228753047402527,0.03137254901960784,0.5683237006181786,0.466,0.416,0.824,0.16665549374169294
9121,global,0.5987438477342379,0.15294117647058825,0.3379516331334414,0.734,0.69,0.706,0.40765702759416844
