metric,comparison,delta,ci_lo,ci_hi,p_t
support_entropy,failure-global,-0.3804536277610434,-0.38647472145125294,-0.37441918368814553,1.0772152870077553e-109
support_entropy,capability-global,-0.10716707822881313,-0.11172147890452588,-0.10271350047704582,4.6172326597799767e-69
support_entropy,family-global,-0.32389982709389564,-0.3291897076124862,-0.31879709593624334,2.6110637231778577e-109
support_entropy,failure-family,-0.05655380066714768,-0.06168831337986782,-0.05140014244867394,4.0624232608139653e-38
coverage,failure-global,-0.09819607843137251,-0.1004705882352941,-0.09596078431372547,2.5234539526543913e-94
coverage,capability-global,-0.0583921568627451,-0.0608235294117647,-0.05596078431372549,1.3683993550324357e-69
coverage,family-global,-0.0948627450980392,-0.09733333333333334,-0.09239215686274509,6.795888577449655e-88
coverage,failure-family,-0.0033333333333333205,-0.004784313725490181,-0.0018431372549019497,3.6723596647785995e-05
state_repair,failure-global,0.19719940677835893,0.18214522732407828,0.21198234412622877,5.080174734361775e-46
state_repair,capability-global,0.1869898463577968,0.1723923696565619,0.20160967449113112,5.758841335863208e-44
state_repair,family-global,0.1953268791059822,0.17928150757118164,0.21084812065731312,1.2723388865885555e-43
state_repair,failure-family,0.0018725276723767443,-0.009733861891648725,0.013244107818056846,0.7541065003599402
heldout,failure-global,-0.23320000000000005,-0.2396805,-0.22668,1.621433330066416e-85
heldout,capability-global,-0.08963999999999997,-0.09563999999999999,-0.08391950000000001,5.350496353547112e-52
heldout,family-global,-0.22089999999999999,-0.22679999999999997,-0.21498,2.147292643882881e-88
heldout,failure-family,-0.012300000000000004,-0.017541000000000005,-0.006920000000000002,1.714650795692946e-05
external,failure-global,-0.23526000000000002,-0.24186000000000005,-0.22861950000000003,9.539409640973916e-85
external,capability-global,-0.08524000000000001,-0.09172050000000004,-0.07884000000000004,5.9059676314342416e-46
external,family-global,-0.21845999999999996,-0.22449999999999995,-0.21264000000000002,3.985899600658358e-87
external,failure-family,-0.016800000000000006,-0.0217805,-0.011658500000000025,5.3172153586739356e-09
target_success,failure-global,0.09663999999999998,0.0842395,0.10944049999999998,2.164228960773127e-27
target_success,capability-global,0.11167999999999999,0.09913999999999999,0.12412099999999998,3.6135700574687063e-32
target_success,family-global,0.09666000000000001,0.08429949999999999,0.10927999999999999,2.338894474300888e-27
target_success,failure-family,-2.000000000000335e-05,-0.0013600000000000023,0.0013399999999999912,0.9773777593667397
all_skill_gain,failure-global,-0.22599835226976464,-0.23060474154107072,-0.22145383783364134,3.556308733088466e-99
all_skill_gain,capability-global,-0.07482149609788646,-0.07910266915469161,-0.07060487611255856,7.779385242088789e-57
all_skill_gain,family-global,-0.206745828709901,-0.2106074295495341,-0.20290829315705675,2.0859991429361352e-103
all_skill_gain,failure-family,-0.019252523559863663,-0.022083600119078013,-0.01644921670138497,6.401884081724639e-23
